Days;Net_DP1;Net_RV1;Net_DP8;Net_DP2;Net_DP3;Net_DP4;Net_DP6;Net_DP7;Net_Porfolio;Cum_Net_DP1;Cum_Net_RV1;Cum_Net_DP8;Cum_Net_DP2;Cum_Net_DP3;Cum_Net_DP4;Cum_Net_DP6;Cum_Net_DP7;Cum_Net_Porfolio;Total_DP1;Total_RV1;Total_DP8;Total_DP2;Total_DP3;Total_DP4;Total_DP6;Total_DP7;Total_Porfolio
2022-01-03;0.0;0.0;0.0;0.0;0.0;-362.5;0.0;0.0;-362.5;0.0;0.0;0.0;0.0;0.0;-362.5;0.0;0.0;-362.5;50000.0;50000.0;50000.0;50000.0;50000.0;49637.5;50000.0;50000.0;49637.5
2022-01-04;0.0;0.0;0.0;0.0;0.0;-15.0;0.0;0.0;-15.0;0.0;0.0;0.0;0.0;0.0;-377.5;0.0;0.0;-377.5;50000.0;50000.0;50000.0;50000.0;50000.0;49622.5;50000.0;50000.0;49622.5
2022-01-05;0.0;0.0;0.0;0.0;0.0;105.0;0.0;0.0;105.0;0.0;0.0;0.0;0.0;0.0;-272.5;0.0;0.0;-272.5;50000.0;50000.0;50000.0;50000.0;50000.0;49727.5;50000.0;50000.0;49727.5
2022-01-06;0.0;0.0;0.0;0.0;0.0;-285.0;0.0;0.0;-285.0;0.0;0.0;0.0;0.0;0.0;-557.5;0.0;0.0;-557.5;50000.0;50000.0;50000.0;50000.0;50000.0;49442.5;50000.0;50000.0;49442.5
2022-01-07;0.0;0.0;0.0;0.0;0.0;-525.0;0.0;0.0;-525.0;0.0;0.0;0.0;0.0;0.0;-1082.5;0.0;0.0;-1082.5;50000.0;50000.0;50000.0;50000.0;50000.0;48917.5;50000.0;50000.0;48917.5
2022-01-10;0.0;0.0;0.0;0.0;0.0;-405.0;0.0;0.0;-405.0;0.0;0.0;0.0;0.0;0.0;-1487.5;0.0;0.0;-1487.5;50000.0;50000.0;50000.0;50000.0;50000.0;48512.5;50000.0;50000.0;48512.5
2022-01-11;0.0;0.0;0.0;0.0;0.0;-225.0;0.0;0.0;-225.0;0.0;0.0;0.0;0.0;0.0;-1712.5;0.0;0.0;-1712.5;50000.0;50000.0;50000.0;50000.0;50000.0;48287.5;50000.0;50000.0;48287.5
2022-01-12;0.0;0.0;0.0;0.0;0.0;-150.0;0.0;0.0;-150.0;0.0;0.0;0.0;0.0;0.0;-1862.5;0.0;0.0;-1862.5;50000.0;50000.0;50000.0;50000.0;50000.0;48137.5;50000.0;50000.0;48137.5
2022-01-13;0.0;0.0;0.0;0.0;0.0;105.0;0.0;0.0;105.0;0.0;0.0;0.0;0.0;0.0;-1757.5;0.0;0.0;-1757.5;50000.0;50000.0;50000.0;50000.0;50000.0;48242.5;50000.0;50000.0;48242.5
2022-01-14;0.0;0.0;0.0;0.0;0.0;690.0;0.0;0.0;690.0;0.0;0.0;0.0;0.0;0.0;-1067.5;0.0;0.0;-1067.5;50000.0;50000.0;50000.0;50000.0;50000.0;48932.5;50000.0;50000.0;48932.5
2022-01-17;0.0;0.0;0.0;0.0;0.0;120.0;0.0;0.0;120.0;0.0;0.0;0.0;0.0;0.0;-947.5;0.0;0.0;-947.5;50000.0;50000.0;50000.0;50000.0;50000.0;49052.5;50000.0;50000.0;49052.5
2022-01-18;0.0;0.0;0.0;0.0;0.0;-305.0;0.0;0.0;-305.0;0.0;0.0;0.0;0.0;0.0;-1252.5;0.0;0.0;-1252.5;50000.0;50000.0;50000.0;50000.0;50000.0;48747.5;50000.0;50000.0;48747.5
2022-01-19;0.0;0.0;0.0;0.0;0.0;345.0;0.0;0.0;345.0;0.0;0.0;0.0;0.0;0.0;-907.5;0.0;0.0;-907.5;50000.0;50000.0;50000.0;50000.0;50000.0;49092.5;50000.0;50000.0;49092.5
2022-01-20;0.0;0.0;0.0;0.0;0.0;-405.0;0.0;0.0;-405.0;0.0;0.0;0.0;0.0;0.0;-1312.5;0.0;0.0;-1312.5;50000.0;50000.0;50000.0;50000.0;50000.0;48687.5;50000.0;50000.0;48687.5
2022-01-21;0.0;0.0;0.0;0.0;0.0;-390.0;0.0;0.0;-390.0;0.0;0.0;0.0;0.0;0.0;-1702.5;0.0;0.0;-1702.5;50000.0;50000.0;50000.0;50000.0;50000.0;48297.5;50000.0;50000.0;48297.5
2022-01-24;0.0;0.0;0.0;0.0;0.0;-920.0;0.0;0.0;-920.0;0.0;0.0;0.0;0.0;0.0;-2622.5;0.0;0.0;-2622.5;50000.0;50000.0;50000.0;50000.0;50000.0;47377.5;50000.0;50000.0;47377.5
2022-01-25;0.0;0.0;0.0;0.0;0.0;330.0;0.0;0.0;330.0;0.0;0.0;0.0;0.0;0.0;-2292.5;0.0;0.0;-2292.5;50000.0;50000.0;50000.0;50000.0;50000.0;47707.5;50000.0;50000.0;47707.5
2022-01-26;0.0;0.0;0.0;0.0;0.0;997.5;0.0;0.0;997.5;0.0;0.0;0.0;0.0;0.0;-1295.0;0.0;0.0;-1295.0;50000.0;50000.0;50000.0;50000.0;50000.0;48705.0;50000.0;50000.0;48705.0
2022-01-27;0.0;0.0;0.0;0.0;0.0;320.0;0.0;0.0;320.0;0.0;0.0;0.0;0.0;0.0;-975.0;0.0;0.0;-975.0;50000.0;50000.0;50000.0;50000.0;50000.0;49025.0;50000.0;50000.0;49025.0
2022-01-28;0.0;0.0;0.0;0.0;0.0;410.0;0.0;0.0;410.0;0.0;0.0;0.0;0.0;0.0;-565.0;0.0;0.0;-565.0;50000.0;50000.0;50000.0;50000.0;50000.0;49435.0;50000.0;50000.0;49435.0
